Subject,dkey,skey,Block,SubTrial,Buchstabe1,Buchstabe2,CorrResp,NameEqual,PhysicalEqual,Accuracy,RTms,Match,n_pre,n_filter,n_finalintra,LogRT,RTs,RespSpeed,PropFilter,PropDel,PropTotal
8,d,l,PIProc,1,Q,Q,l,FALSE,TRUE,1,672,1,20,20,20,6.51025834052315,0.672,1.48809523809524,0,0,0
8,d,l,PIProc,2,b,B,d,TRUE,FALSE,1,765,0,20,20,20,6.63987583382654,0.765,1.30718954248366,0,0,0
8,d,l,PIProc,3,f,f,l,FALSE,TRUE,1,518,1,20,20,20,6.24997524225948,0.518,1.93050193050193,0,0,0
8,d,l,PIProc,4,F,Q,d,FALSE,FALSE,1,600,0,20,20,20,6.39692965521615,0.6,1.66666666666667,0,0,0
8,d,l,PIProc,5,A,a,d,TRUE,FALSE,1,584,0,20,20,20,6.36990098282823,0.584,1.71232876712329,0,0,0
8,d,l,PIProc,6,b,b,l,FALSE,TRUE,1,560,1,20,20,20,6.32793678372919,0.56,1.78571428571429,0,0,0
8,d,l,PIProc,7,B,b,d,TRUE,FALSE,1,561,0,20,20,20,6.3297209055227,0.561,1.7825311942959,0,0,0
8,d,l,PIProc,8,A,A,l,FALSE,TRUE,1,554,1,20,20,20,6.31716468674728,0.554,1.80505415162455,0,0,0
8,d,l,PIProc,9,a,q,d,FALSE,FALSE,1,572,0,20,20,20,6.3491389913798,0.572,1.74825174825175,0,0,0
8,d,l,PIProc,10,F,F,l,FALSE,TRUE,1,528,1,20,20,20,6.26909628370626,0.528,1.89393939393939,0,0,0
8,d,l,PIProc,11,q,q,l,FALSE,TRUE,1,571,1,20,20,20,6.34738920965601,0.571,1.75131348511384,0,0,0
8,d,l,PIProc,12,b,F,d,FALSE,FALSE,1,416,0,20,20,20,6.03068526026126,0.416,2.40384615384615,0,0,0
8,d,l,PIProc,13,a,a,l,FALSE,TRUE,1,514,1,20,20,20,6.24222326545517,0.514,1.94552529182879,0,0,0
8,d,l,PIProc,14,f,f,l,FALSE,TRUE,1,557,1,20,20,20,6.32256523992728,0.557,1.79533213644524,0,0,0
8,d,l,PIProc,15,h,H,d,TRUE,FALSE,1,566,0,20,20,20,6.33859407820318,0.566,1.76678445229682,0,0,0
8,d,l,PIProc,16,A,h,d,FALSE,FALSE,1,499,0,20,20,20,6.21260609575152,0.499,2.00400801603206,0,0,0
8,d,l,PIProc,17,F,F,l,FALSE,TRUE,1,442,1,20,20,20,6.0913098820777,0.442,2.26244343891403,0,0,0
8,d,l,PIProc,18,h,H,d,TRUE,FALSE,1,496,0,20,20,20,6.20657592672493,0.496,2.01612903225806,0,0,0
8,d,l,PIProc,19,b,A,d,FALSE,FALSE,1,484,0,20,20,20,6.18208490671663,0.484,2.06611570247934,0,0,0
8,d,l,PIProc,20,q,q,l,FALSE,TRUE,1,480,1,20,20,20,6.17378610390194,0.48,2.08333333333333,0,0,0
8,d,l,PIProc,21,h,H,d,TRUE,FALSE,1,513,0,20,20,20,6.24027584517077,0.513,1.94931773879142,0,0,0
